,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
0,"Wimpole Street, Marylebone, London, W1G",450542500,3,Apartment
1,"One Hyde Park, Knightsbridge",2147483648,5,Apartment
2,"Buckingham Gate, SW1",2147483648,9,Terraced
3,"Buckingham Gate, Westminster, SW1E",2147483648,8,Terraced
4,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",2147483648,6,Not Specified
5,"Wilton Crescent, London, SW1X",2147483648,8,Terraced
6,"Addison Road, London, W14",2147483648,8,Detached
7,"Chester Square, London, SW1W",2147483648,6,Terraced
8,"Brick Street, Mayfair, London, W1J",2147483648,7,House
9,"Brick Street, Mayfair, London, W1J",2147483648,7,Terraced
10,"Chester Square, London, SW1W",2147483648,6,Terraced
11,"Addison Road, Holland Park, W14",2147483648,8,Detached
12,"Royal Westminster, London",2147483648,7,Detached
13,"Merton Lane, London, N6",2147483648,6,Detached
14,"Merton Lane, London, N6",2147483648,10,Detached
15,"Merton Lane, Highgate, London, N6",2147483648,5,House
16,"Merton Lane, London, N6",2147483648,6,Detached
17,"Princes Gate, Knightsbridge, London, SW7",2147483648,12,Detached
18,"FREEHOLD House in Park Street, Mayfair, W1K",2147483648,11,Terraced
19,"Avenue Road, NW8",2147483648,8,Detached
20,"Cadogan Place, Belgravia, London, SW1X",2147483648,6,Terraced
21,"Cambridge Park, Twickenham, Richmond, TW1.",2147483648,9,Detached
22,"Piccadilly, Mayfair",2147483648,6,House
23,"Cambridge Park, Twickenham, Greater London, TW1",2147483648,9,Detached
24,"Princes Gate, London, SW7",2147483648,6,House
25,"Merrivale, Camden Street, NW1",31803000,1,Apartment
26,"Princes Gate, London, SW7",2147483648,7,Terraced
27,"Holland Villas Road, London, W14",2147483648,12,Detached
28,"Abbotsbury Road, London, W14",2147483648,7,Detached
29,"Eaton Terrace, London, SW1W",2147483648,5,Mews
30,"Eaton Terrace, Belgravia, London, SW1W",2147483648,4,Terraced
31,"Holland Villas Road, London, W14",2147483648,9,Detached
32,"Marylebone High Street, London, W1U",2147483648,3,Penthouse
33,"Marylebone Square, Marylebone W1",2147483648,3,Flat
34,"Moxon Street, W1U",2147483648,3,Block of Apartments
35,"Down Street Mews, London, W1J",2147483648,8,Mews
36,"Down Street Mews, Mayfair, London, W1J",2147483648,9,Semi-Detached
37,"Knightsbridge Gate, Apartment 6, 55 Knightsbridge, SW1X",2147483648,6,Penthouse
38,"Knightsbridge, London, SW1X",2147483648,6,Apartment
39,"Park Crescent, Regent's Park, London, W1B",2147483648,5,Duplex
40,"Old Park Lane, London, W1K",2147483648,5,Apartment
41,"Cambridge Gate, Regents Park, London, NW1",2147483648,5,Flat
42,"Elsworthy Road, London, NW3",2147483648,5,Detached
43,"Elsworthy Road, St John's Wood, London, NW3",2147483648,5,Detached
44,"Lowndes Square, London, SW1X",2147483648,10,Terraced
45,"Chester Square, London, SW1W",2147483648,6,Terraced
46,"Lowndes Square, London, SW1X",2147483648,10,Town House
47,"One Hyde Park, Knightsbridge",2147483648,3,Apartment
48,"Elsworthy Road, Primrose Hill, London",2147483648,5,Detached
49,"Cornwall Terrace, Regent's Park",2147483648,6,Terraced
50,"Havil Street, London",45054250,2,Maisonette
51,"Elsworthy Road, London, NW3",2147483648,5,Semi-Detached
52,"Chester Square, London, SW1W",2147483648,6,Town House
53,"Chester Square, London",2147483648,6,House
54,Chester Square,2147483648,6,Terraced
55,"Cumberland Terrace, Regent's Park, London, NW1",2147483648,6,Terraced
56,"Herbert Crescent, London, SW1X",2147483648,7,Terraced
57,"St. John's Wood, London, NW8",2147483648,8,Detached
58,"Winnington Road, London, N2",2147483648,6,Detached
59,"Winnington Road, N2",2147483648,6,Detached
60,"One Kensington Gardens, Kensington, London, W8 5NX",2147483648,5,Apartment
61,"Phillimore Gardens, London, W8",2147483648,5,Semi-Detached
62,"One Kensington Gardens, Kensington Road, London",2147483648,5,Flat
63,"Phillimore Gardens, London, W8",2147483648,5,End of Terrace
64,"The Bishops Avenue, Hampstead, London, N2",2147483648,5,Penthouse
65,"Culross Street, Mayfair, London, W1K",2147483648,6,Terraced
66,"Holland Villas Road, Holland Park, London",2147483648,6,Terraced
67,"Holland Villas Road, Holland Park, London, W14",2147483648,6,Detached
68,"Buckingham Gate, St James's Park",2147483648,5,House
69,"Ilchester Place, London, W14",2147483648,7,Terraced
70,"Pembroke Gardens,London,W8",2147483648,7,Detached
71,"Pembroke Gardens, Kensington, W8",2147483648,8,Detached
72,"Wadham Gardens, St John's Wood, London, NW3",2147483648,4,Detached
73,"Stratford Place, London, W1C",2147483648,5,Town House
74,"Knightsbridge Gate, Apartment 5, 1 William Street, London, SW1X",2147483648,5,Penthouse
75,"Ullathorne Road, London, SW16",39753750,2,Apartment
76,"Wadham Gardens, London, NW3",2147483648,5,Detached
77,"William Street, London, SW1X",2147483648,5,Apartment
78,"Hanover Terrace, Regents Park, London, NW1",2147483648,6,Terraced
79,"Knightsbridge Gate, Apartment 5, 1 William Street, London, SW1X",2147483648,5,Penthouse
80,"Ashburton Place, London, W1J",2147483648,3,Apartment
81,"Knightsbridge Gate, Knightsbridge, London, SW1X.",2147483648,5,Not Specified
82,"Lygon Place, London, SW1W",2147483648,6,Town House
83,"Palace Court, London, W2",2147483648,7,Detached
84,"Lygon Place, Belgravia, London, SW1W.",2147483648,7,Terraced
85,"Bedford Gardens, Kensington, London",2147483648,6,Semi-Detached
86,"Hamilton Terrace, St John's Wood, London, NW8",2147483648,5,Detached
87,"Hamilton Terrace, St John's Wood, London, NW8",2147483648,5,Detached
88,"Lowndes Square, London, SW1X",2147483648,8,Penthouse
89,"Chester Square, London, SW1W",2147483648,6,House
90,"Hertford Street, Mayfair, London., W1J",2120200000,10,Terraced
91,"Mount Street, Mayfair, London, W1K",2120200000,4,Flat
92,"Compton Avenue, N6",2120200000,3,Land for sale
93,"One Hyde Park, Knightsbridge",2120200000,6,Apartment
94,"Romneys House, NW3",2120200000,7,House
95,"The Bishops Avenue, Hampstead, N2",2120200000,3,House
96,"Grosvenor Square, London, W1K",2120200000,12,Apartment
97,"Addison Road, London, W14",2120200000,5,Detached
98,"Pont Street, Knightsbridge",2120200000,5,Flat
99,"Gilston Road, Chelsea, London, SW10",2120200000,2,End of Terrace
100,"Oratory Apartments, Canning Town, E16",45054250,4,Apartment
101,"Mount Street, London, W1K",2120200000,5,Apartment
102,"Park Lane, Mayfair",2114899500,5,Flat
103,"Grosvenor Square, Mayfair, London, W1K",2114899500,5,Penthouse
104,"Montrose Place, London, SW1X",2114899500,11,Apartment
105,"Frognal, Hampstead Village",2114899500,5,Detached
106,"Montrose Place, Belgravia, SW1X",2114899500,4,Flat
107,"Ebury Square, London, SW1W",2114899500,10,Flat
108,"Frognal, Hampstead, NW3",2114899500,5,Detached
109,"Grosvenor Square, Mayfair",2114899500,5,Flat
110,"Portland Place, Marylebone, W1B",2093697500,6,End of Terrace
111,"Hanover Terrace, Regent's Park, London, NW1",2093697500,6,Terraced
112,"Hyde Park Gate, London, SW7",2067195000,6,Terraced
113,"Queens Grove, St John's Wood, London, NW8",2067195000,6,Semi-Detached
114,"Wilton Crescent, London, SW1X",2067195000,6,Terraced
115,"Lyall Street, London, SW1X",2067195000,4,Villa
116,"Courtenay Avenue, N6",2067195000,3,Detached
117,"The Bryanston, Hyde Park, 55 Bryanston Street, Marylebone, London, W1H 7BZ",2014190000,7,Apartment
118,"The Bryanston, Hyde Park",2014190000,7,Flat
119,"View Road, Highgate, London, N6",2008889500,7,Detached
120,"Hanover Terrace, London, NW1",2008889500,7,House
121,"Hanover Terrace, London, NW1",2008889500,7,Terraced
122,"Hanover Terrace, Regent's Park, NW1",2008889500,7,Terraced
123,"Hanover Terrace, Regent's Park",2008889500,2,House
124,"View Road, Highgate, N6",2008889500,7,Detached
125,"Caversham Road, Beaufort Park, Colindale, NW9",56715350,4,Apartment
126,"Lygon Place, Belgravia, SW1W",1961185000,6,End of Terrace
127,"The OWO, Whitehall, London, SW1A",1961185000,6,Apartment
128,"Bourdon Street, Mayfair, London, W1K",1934682500,6,House
129,"Bourdon Street, Mayfair, W1K",1934682500,7,Town House
130,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",1908180000,7,Equestrian Facility
131,"Parkside, Wimbledon Village, SW19",1908180000,8,Detached
132,"Highwood Lodge Farm Estate, Highwood Hill, Mill Hill, London, NW7",1908180000,5,Detached
133,"Harley Street, Marylebone Village, London W1",1908180000,7,Terraced
134,"Herbert Crescent, Knightsbridge, London",1908180000,7,House
135,"Parkside, Wimbledon, London, SW19",1908180000,8,Detached
136,"Lanson Building, Chelsea Bridge Wharf, London, SW11",1908180000,6,Apartment
137,"Winnington Road, Hampstead, London, N2",1908179893,6,Detached
138,"Winnington Road, N2",1908179893,4,Detached
139,"Garway Road, Notting Hill, London",1902879500,5,Detached
140,"Chesham Place, London, SW1X",1902879500,6,Apartment
141,"Culross Street, Mayfair, London, W1K",1902879500,5,Terraced
142,"Garway Road, London, W2",1902879500,36,Detached
143,"Lancelot Place, London, SW7",1881677500,5,Town House
144,"Kenway Road, London, SW5",1881677500,3,Block of Apartments
145,"Lancelot Place, London, SW7",1881677500,5,Town House
